pageID,int,syn,before,controlled,randomised,review
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Use grazing instead of cutting for pasture or grassland management,Natural Pest Control,0,1,1,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Employ grazing in artificial grasslands/pastures,Bird Conservation,0,1,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Mow or cut semi-natural grasslands/pastures,Bird Conservation,0,0,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Fertilize artificial grasslands ,Bird Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
2,Provide sacrificial grasslands to reduce the impact of wild geese on crops,Farmland Conservation,0,1,0,0
